,temp
879,10.9
880,10.8
881,17.4
882,17.8
883,19.4
884,15.2
885,12.2
886,16.2
887,18.2
888,14.4
889,13.0
890,10.7
891,12.8
892,12.2
893,12.2
894,19.6
895,16.4
896,14.4
897,11.8
898,18.3
899,19.6
900,15.7
901,15.8
902,15.0
903,14.5
904,12.6
905,12.1
906,12.8
907,13.5
908,16.6
909,19.3
910,22.0
911,23.2
912,22.0
913,28.6
914,23.2
915,22.8
916,22.2
917,20.3
918,20.3
919,21.9
920,23.2
921,19.8
922,23.0
923,16.2
924,18.6
925,18.4
926,15.6
927,14.6
928,15.9
929,14.4
930,14.0
931,17.2
932,15.0
933,20.0
934,15.4
935,13.8
936,14.3
937,14.4
938,17.4
939,14.6
940,14.9
941,16.7
942,18.6
943,20.4
944,22.6
945,19.8
946,19.4
947,22.6
948,23.3
949,20.4
950,19.5
951,20.3
952,19.0
953,20.6
954,25.8
955,22.7
956,19.5
957,20.2
958,19.8
959,15.6
960,15.5
961,15.5
962,16.0
963,15.6
964,13.6
965,14.0
966,15.4
967,17.0
968,15.0
969,17.6
970,16.1
971,14.7
972,18.0
973,20.0
974,17.6
975,15.8
976,12.8
977,11.8
978,11.9
979,10.9
980,11.5
981,11.5
982,12.2
983,9.4
984,10.9
985,11.2
986,9.7
987,11.0
988,10.4
989,9.6
990,13.3
991,10.4
992,6.8
993,7.3
994,10.4
995,9.8
996,12.0
997,14.8
998,12.9
999,11.2
1000,11.2
1001,9.3
1002,8.2
1003,9.8
1004,12.8
1005,10.5
1006,7.8
1007,8.0
1008,6.4
1009,8.6
1010,8.6
1011,7.3
1012,9.8
1013,7.6
1014,5.1
1015,3.8
1016,3.5
1017,5.7
1018,5.1
1019,3.9
1020,4.8
1021,4.5
1022,3.6
1023,2.5
1024,3.8
1025,4.2
1026,4.9
1027,10.9
1028,9.8
1029,9.7
1030,8.9
1031,10.8
1032,13.0
1033,9.0
1034,7.6
1035,6.2
1036,6.2
1037,4.0
1038,5.0
1039,6.9
1040,6.1
1041,3.1
1042,0.8
1043,0.2
1044,4.1
1045,2.0
1046,1.6
1047,0.0
1048,0.0
1049,0.1
1050,-1.6
1051,-2.7
1052,0.4
1053,3.4
1054,3.0
1055,2.6
1056,0.0
1057,1.9
1058,0.6
1059,-0.4
1060,-0.8
1061,-2.0
1062,-1.2
1063,-4.4
1064,-4.2
1065,-5.7
1066,-6.6
1067,-1.4
1068,-2.1
1069,-0.6
1070,-2.0
1071,-1.9
1072,-0.6
1073,-1.5
1074,-4.0
1075,-2.3
1076,2.6
1077,1.0
1078,0.8
1079,-0.8
1080,-1.1
1081,-0.6
1082,-1.0
1083,-3.9
1084,-0.2
1085,2.0
1086,0.2
1087,0.8
1088,3.2
1089,4.3
1090,0.9
1091,-0.5
1092,0.0
1093,-0.5
1094,-2.4
1095,-2.2
1096,-1.0
1097,-0.6
1098,0.0
1099,0.2
1100,-3.0
1101,-4.1
1102,-0.8
1103,-0.5
1104,-1.7
1105,-0.1
1106,-1.2
1107,0.3
1108,-1.2
1109,-5.2
1110,-6.2
1111,0.6
1112,0.8
1113,0.5
1114,-0.2
1115,-2.0
1116,1.5
1117,1.2
1118,0.0
1119,1.5
1120,0.1
1121,-3.9
1122,1.3
1123,7.8
1124,7.4
1125,6.8
1126,4.0
1127,0.7
1128,1.6
1129,0.3
1130,-1.8
1131,-2.6
1132,-5.0
1133,-8.5
1134,-11.8
1135,-9.4
1136,0.8
1137,0.4
1138,-2.4
1139,-2.9
1140,-3.8
1141,-2.0
1142,-2.8
1143,-0.5
1144,1.5
1145,4.4
1146,5.8
1147,8.0
1148,7.9
1149,6.5
1150,5.9
1151,6.1
1152,7.7
1153,7.6
1154,3.5
1155,0.7
1156,0.1
1157,1.6
1158,3.5
1159,2.6
1160,3.7
1161,2.6
1162,1.2
1163,2.5
1164,2.6
1165,2.1
